iso3_country,year,technology,income_group,wb_region,capex_$/kw,fom_$/kw/yr,vom_$/mwh,lcoe_$/mwh,wacc_nominal,crf,annual_cost_$/kw/yr,data_source,capex_source,crf_source,proxy_peers,country_name
DZA,2025,PV fixed-axis,LMIC,Middle East & North Africa,457.05,8.6566,0,39.05,0.147823,0.152686,78.44,proxied,peer_mean_income,irena,IND|PHL|VNM,Algeria
DZA,2030,PV fixed-axis,LMIC,Middle East & North Africa,390.9,8.1074,0,29.11,0.147823,0.152686,67.79,proxied,peer_mean_income,irena,IND|PHL|VNM,Algeria
ECU,2025,PV fixed-axis,UMIC,Latin America & Caribbean,535.15,10.7181,0,43.04,0.138722,0.144331,87.96,proxied,peer_mean_income,irena,CHN|IDN|MYS|THA|ZAF,Ecuador
ECU,2030,PV fixed-axis,UMIC,Latin America & Caribbean,427.3,10.0509,0,32.32,0.138722,0.144331,71.72,proxied,peer_mean_income,irena,CHN|IDN|MYS|THA|ZAF,Ecuador
EGY,2025,PV fixed-axis,LMIC,Middle East & North Africa,457.05,8.6566,0,39.05,0.195498,0.197775,99.05,proxied,peer_mean_income,irena,IND|PHL|VNM,Egypt
EGY,2030,PV fixed-axis,LMIC,Middle East & North Africa,390.9,8.1074,0,29.11,0.195498,0.197775,85.42,proxied,peer_mean_income,irena,IND|PHL|VNM,Egypt
ERI,2025,PV fixed-axis,LIC,Sub-Saharan Africa,573.91,12.2751,0,44.09,,0.144433,95.17,proxied,global_mean,peer_mean,ARE|AUS|CAN|CHN|DEU|ESP|FRA|GBR|IDN|IND|ITA|JPN|KOR|MYS|PHL|THA|USA|VNM|ZAF,Eritrea
ERI,2030,PV fixed-axis,LIC,Sub-Saharan Africa,462.06,11.5,0,34.46,,0.144433,78.24,proxied,global_mean,peer_mean,ARE|AUS|CAN|CHN|DEU|ESP|FRA|GBR|IDN|IND|ITA|JPN|KOR|MYS|PHL|THA|USA|VNM|ZAF,Eritrea
ESP,2025,PV fixed-axis,HIC,Europe & Central Asia,509.14,11.0117,0,34,0.057195,0.076154,49.78,bnef,bnef,irena,,Spain
ESP,2030,PV fixed-axis,HIC,Europe & Central Asia,424.76,10.3203,0,27.96,0.057195,0.076154,42.67,bnef,bnef,irena,,Spain
EST,2025,PV fixed-axis,HIC,Europe & Central Asia,505.11,11.1583,0,41.62,0.086098,0.098606,60.97,proxied,peer_mean_region_income,irena,DEU|ESP|FRA|GBR|ITA,Estonia
EST,2030,PV fixed-axis,HIC,Europe & Central Asia,429.06,10.4559,0,35.54,0.086098,0.098606,52.76,proxied,peer_mean_region_income,irena,DEU|ESP|FRA|GBR|ITA,Estonia
ETH,2025,PV fixed-axis,LIC,Sub-Saharan Africa,573.91,12.2751,0,44.09,0.233097,0.234341,146.77,proxied,global_mean,irena,ARE|AUS|CAN|CHN|DEU|ESP|FRA|GBR|IDN|IND|ITA|JPN|KOR|MYS|PHL|THA|USA|VNM|ZAF,Ethiopia
ETH,2030,PV fixed-axis,LIC,Sub-Saharan Africa,462.06,11.5,0,34.46,0.233097,0.234341,119.78,proxied,global_mean,irena,ARE|AUS|CAN|CHN|DEU|ESP|FRA|GBR|IDN|IND|ITA|JPN|KOR|MYS|PHL|THA|USA|VNM|ZAF,Ethiopia
FIN,2025,PV fixed-axis,HIC,Europe & Central Asia,505.11,11.1583,0,41.62,0.068915,0.084973,54.08,proxied,peer_mean_region_income,irena,DEU|ESP|FRA|GBR|ITA,Finland
FIN,2030,PV fixed-axis,HIC,Europe & Central Asia,429.06,10.4559,0,35.54,0.068915,0.084973,46.91,proxied,peer_mean_region_income,irena,DEU|ESP|FRA|GBR|ITA,Finland
FJI,2025,PV fixed-axis,UMIC,East Asia & Pacific,549.44,10.333,0,44.03,,0.082172,55.48,proxied,peer_mean_region_income,peer_mean,CHN|IDN|MYS|THA,Fiji
FJI,2030,PV fixed-axis,UMIC,East Asia & Pacific,422.58,9.6798,0,32.25,,0.082172,44.4,proxied,peer_mean_region_income,peer_mean,CHN|IDN|MYS|THA,Fiji
FRA,2025,PV fixed-axis,HIC,Europe & Central Asia,509.14,11.0117,0,42.45,0.035939,0.061294,42.22,bnef,bnef,irena,,France
FRA,2030,PV fixed-axis,HIC,Europe & Central Asia,424.76,10.3203,0,36.5,0.035939,0.061294,36.36,bnef,bnef,irena,,France
FSM,2025,PV fixed-axis,LMIC,East Asia & Pacific,506.22,10.4761,0,46.01,,0.156314,89.6,proxied,peer_mean_region_income,peer_mean,PHL|VNM,"Micronesia, Federated States of"
FSM,2030,PV fixed-axis,LMIC,East Asia & Pacific,423.87,9.81,0,33.93,,0.156314,76.07,proxied,peer_mean_region_income,peer_mean,PHL|VNM,"Micronesia, Federated States of"
GAB,2025,PV fixed-axis,UMIC,Sub-Saharan Africa,477.96,12.2584,0,39.09,,0.101525,60.78,proxied,peer_mean_region_income,peer_mean,ZAF,Gabon
GAB,2030,PV fixed-axis,UMIC,Sub-Saharan Africa,446.22,11.5353,0,32.58,,0.101525,56.84,proxied,peer_mean_region_income,peer_mean,ZAF,Gabon
GBR,2025,PV fixed-axis,HIC,Europe & Central Asia,488.93,11.7451,0,50.98,0.042734,0.065875,43.95,bnef,bnef,irena,,United Kingdom of Great Britain and Northern Ireland
GBR,2030,PV fixed-axis,HIC,Europe & Central Asia,446.22,10.9983,0,44.77,0.042734,0.065875,40.39,bnef,bnef,irena,,United Kingdom of Great Britain and Northern Ireland
GEO,2025,PV fixed-axis,UMIC,Europe & Central Asia,535.15,10.7181,0,43.04,,0.149642,90.8,proxied,peer_mean_income,peer_mean,CHN|IDN|MYS|THA|ZAF,Georgia
GEO,2030,PV fixed-axis,UMIC,Europe & Central Asia,427.3,10.0509,0,32.32,,0.149642,73.99,proxied,peer_mean_income,peer_mean,CHN|IDN|MYS|THA|ZAF,Georgia
