sector,reference_twh,cc,bottom_up_twh,coverage_pct
Pulp & Paper,35.31381985506874,SE,10.765779256080625,30.4860230364894
Steel,4.012090946953995,SE,4.400828986635839,109.68916320246869
Textiles & Leather,0.0288546814101315,SE,0.031218028509668316,108.19051531342501
Cement (+lime),0.3714003947568713,SI,0.3794060438606665,102.15553058553853
Ceramics & Glass,0.5508215750668044,SI,0.186834375,33.919218755608924
Chemicals,0.0715354708354789,SI,0.0,0.0
"Food, Bev & Tobacco",0.24160620214286782,SI,0.0,0.0
Non-ferrous Metals,0.24571192641288492,SI,0.008264554440560757,3.363513754181112
Pulp & Paper,0.941654976848326,SI,0.1155840027195,12.27455974441447
Steel,0.4207316117316099,SI,0.27336498975409834,64.97372247096122
Textiles & Leather,0.0393116871542224,SI,0.05282015737558814,134.36247894518266
Cement (+lime),1.656169835948839,SK,1.9058517153124535,115.07586202477651
Ceramics & Glass,0.6398075828741873,SK,0.0637609375,9.965642672374837
Chemicals,1.992550822794601,SK,2.3428153678590005,117.57870068142829
"Food, Bev & Tobacco",0.5652842019374271,SK,0.5652842019374271,100.0
Non-ferrous Metals,0.22327196854354808,SK,0.03316997141836369,14.856308042043375
Pulp & Paper,2.590535083722322,SK,0.5779200135429582,22.308905105139473
Steel,4.455429000211222,SK,2.71033655941327,60.832224220939864
Textiles & Leather,0.0642585640666047,SK,0.10093652637973571,157.0787144809428
